CC No.,Type,Train number,Train name,Start Station name,End Station name,Stoppage Station name,Date of Issue
205,extension,05838,KOTA- AKLERA SPECIAL,,AKLERA,,11.03.2024
205,extension,05837,JUNAKHERA- KOTA SPECIAL,,AKLERA,,11.03.2024
205,extension,05840,KOTA- AKLERA SPECIAL,,AKLERA,,11.03.2024
205,extension,05839,JHALAWAR CITY -KOTA SPECIAL,,AKLERA,,11.03.2024
226,stoppage,11753/11754,NSCB Itwari-Rewa Express,,,Tumsar Road,15.03.2024
237,stoppage,18615/18616,Howrah-Hatia Kriya Yoga Express,,,Tiraldih,15.03.2024
21,stoppage,15053/15054,Chhapra-Lucknow Express,,,Karimuddinpur,12.01.2024
21,stoppage,15231/15232,Barauni-Gondia Express,,,Yusufpur,12.01.2024
123,stoppage,13239/13240,Patna-Kota Express,,,Rura,22.02.2024
31,stoppage,13349/13350,Singrauli-Patna Express,,,Wyndhamganj,15.01.2024
143,extension,15028,GORAKHPUR-HATIA- SAMBALPUR EXPRESS,,SAMBALPUR,,27.02.2024
143,extension,15027,SAMBALPUR-HATIA- GORAKHPUR EXPRESS,,SAMBALPUR,,27.02.2024
225,stoppage,22877/22878,Howrah-Ernakulam Antyodaya Express,,,Aluva,15.03.2024
215,stoppage,14887/14888,Barmer-Rishikesh Express,,,Arjansar,14.03.2024
215,stoppage,14721/14722,Jodhpur-Bathinda Express,,,Arjansar,14.03.2024
215,stoppage,12403/12404,Prayagraj-Bikaner Express,,,Sudsar,14.03.2024
215,stoppage,20403/20404,Prayagraj-Bikaner Express,,,Sudsar,14.03.2024
28,introduction,None,GOMTINAGAR-GODDA EXPRESS,GOMTINAGAR,GODDA,,15.01.2024
28,introduction,None,GODDA-GOMTINAGAR EXPRESS,GODDA,GOMTINAGAR,,15.01.2024
185,stoppage,16366,Nagercoil-Kottayam Express,,,Kappil,09.03.2024
185,stoppage,16127,Chennai Egmore-Guruvayur Express,,,Kadakavur,09.03.2024
185,stoppage,16366,Nagercoil-Kottayam Express,,,Iravipuram,09.03.2024
185,stoppage,16729/16730,Madurai-Punalur Express,,,Iravipuram,09.03.2024
185,stoppage,16366,Nagercoil-Kottayam Express,,,Perinad,09.03.2024
114,introduction,None,04640 BARAMULLA- SANGALDAN MEMU,BARAMULLA,SANGALDAN,,19.02.2024
114,introduction,None,04639 SANGALDAN- BARAMULLA MEMU,SANGALDAN,BARAMULLA,,19.02.2024
114,introduction,None,04668 BARAMULLA- SANGALDAN DMU,BARAMULLA,SANGALDAN,,19.02.2024
114,introduction,None,04667 SANGALDAN- BARAMULLA DMU,SANGALDAN,BARAMULLA,,19.02.2024
161,stoppage,12071,Mumbai CSMT-Jalna Jan Shatabdi Express,,,Hingoli,04.03.2024
150,introduction,None,TANAKPUR- DEHRADUN EXPRESS,TANAKPUR,DEHRADUN,,01.03.2024
150,introduction,None,DEHRADUN- TANAKPUR EXPRESS,DEHRADUN,TANAKPUR,,01.03.2024
166,introduction,14009,BAPUDHAM MOTIHARI-ANAND VIHAR (T) EXPRESS,BAPUDHAM MOTIHARI,ANAND VIHAR (T),,04.03.2024
166,introduction,14010,ANAND VIHAR (T)-BAPUDHAM MOTIHARI EXPRESS,ANAND VIHAR (T),BAPUDHAM MOTIHARI,,04.03.2024
166,introduction,15621,KAMAKHYA-ANAND VIHAR (T) EXPRESS,KAMAKHYA,ANAND VIHAR (T),,04.03.2024
151,stoppage,11903/04,Virangana Lakshmibai Jhansi-Etawah Express,,,Sonagir,29.02.2024
189,introduction,22345,PATNA GOMTINAGAR VANDE BHARAT EXPRESS,PATNA,GOMTINAGAR,,15.03.2024
189,introduction,22346,GOMTINAGAR - PATNA VANDE BHARAT EXPRESS,GOMTINAGAR,PATNA,,15.03.2024
93,stoppage,22157/58,Chhatrapati Shivaji Maharaj (T)-Chennai Egmore Express,,,Shahabad,16.02.2024
128,stoppage,12239/12240,Mumbai Central-Hisar Duronto Express,,,Kota,23.02.2024
109,stoppage,13021/13022,Howrah-Raxaul Mithila Express,,,Pipra,16.02.2024
109,stoppage,12557/12558,Muzaffarpur-Anand Vihar Sapt Kranti Express,,,Pipra,16.02.2024
109,stoppage,19037/19038,Bandra Barauni Avadh Express,,,Pipra,16.02.2024
109,stoppage,15653/15654,Guwahati-Jammu Tawi Amarnath Express,,,Mehsi,16.02.2024
109,stoppage,15001/15002,Muzaffarpur-Dehradun Rapti Ganga Express,,,Mehsi,16.02.2024
109,stoppage,15051/15052,Gorakhpur-Kolkata Express,,,Mehsi,16.02.2024
109,stoppage,14015/14016,Anand Vihar Raxaul Sadbhawna Express,,,Mehsi,16.02.2024
109,stoppage,15267/15268,Lokmanya Tilak Raxaul Antyodaya Express,,,Mehsi,16.02.2024
165,introduction,22165/22166,BHOPAL-SINGRAULI EXPRESS,BHOPAL,SINGRAULI,,04.03.2024
165,introduction,22167/22168,SINGRAULI-H. NIZAMUDDIN EXPRESS,SINGRAULI,H. NIZAMUDDIN,,04.03.2024
186,introduction,22962,AHMEDABAD - MUMBAI CENTRAL VANDE BHARAT EXPRESS,AHMEDABAD,MMCT,,15.03.2024
186,introduction,22961,MUMBAI CENTRAL AHMEDABAD VANDE BHARAT EXPRESS,MMCT,AHMEDABAD,,15.03.2024
164,stoppage,22113/22114,Lokmanya Tilak(T)-Kochuveli Express,,,Kundapura,02.03.2024
20,stoppage,15707/15708,Express,,,Ekma,12.01.2024
20,stoppage,13019/13020,Express,,,Kopa Samhota,12.01.2024
184,stoppage,01487/88,Pune-Harangul Special,,,Parewadi,09.03.2024
184,stoppage,01423/24,Pune-Miraj Special,,,KIRLOSKARVADI,09.03.2024
180,stoppage,20415/20416,Varanasi-Indore Kashi Mahakal Express,,,Orai, 
180,stoppage,11123/11124,Gwalior-Barauni Express,,,Moth, 
180,stoppage,11123/11124,Gwalior-Barauni Express,,,Ait, 
180,stoppage,14113/14114,Subedarganj-Dehradun Express,,,Dibai, 
180,stoppage,18181/18182,Tatanagar-Thawe Express,,,Daudpur, 
180,stoppage,04429,Delhi-Saharanpur Special,,,Sona Arjunpur, 
180,stoppage,01622,Saharanpur-Delhi Special,,,Khandrawali, 
217,stoppage,16101/16102,Chennai Egmore-Kollam Express,,,Ulundurpet,14.03.2024
217,stoppage,20605/20606,Chennai Egmore-Tiruchendur Express,,,Kuttalam,14.03.2024
216,stoppage,17317/18,Dadar - Hubballi Express,,,KIRLOSKARVADI,14.03.2024
